DATE,PLAYER_NAME,OWN_TEAM,OPP_TEAM,VENUE,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
2017-10-17,Jordan Bell,GSW,HOU,H,11.766666666666667,.800,.800,.000,.000,0.0,9.1,4.9,15.3,0.0,0.0,16.7,23.0,121,124
2017-10-17,David West,GSW,HOU,H,9.416666666666666,.667,.667,.000,.000,13.1,0.0,6.1,0.0,0.0,9.1,25.0,19.2,100,121
2017-10-17,Kevon Looney,GSW,HOU,H,7.766666666666667,.568,,,,0.0,27.5,14.7,0.0,6.1,0.0,0.0,5.1,123,107
2017-10-17,Omri Casspi,GSW,HOU,H,4.466666666666667,1.136,,,,0.0,23.9,12.8,0.0,0.0,0.0,0.0,8.9,250,122
2017-10-17,Team Totals,GSW,HOU,H,240.0,.678,.638,.375,.263,15.4,77.8,48.8,79.1,4.9,16.1,16.0,100.0,118.6,119.6
2017-10-18,Khris Middleton,MIL,BOS,R,43.43333333333333,.419,.382,.294,.118,5.8,15.5,11.3,21.1,2.3,0.0,21.9,24.3,83,101
2017-10-18,Malcolm Brogdon,MIL,BOS,R,41.43333333333333,.808,.750,.500,.400,0.0,2.3,1.3,14.9,0.0,0.0,14.5,15.3,141,110
2017-10-18,Giannis Antetokounmpo,MIL,BOS,R,36.93333333333333,.667,.591,.045,.591,3.4,31.2,19.2,18.5,4.0,0.0,15.3,40.8,117,92
2017-10-18,Tony Snell,MIL,BOS,R,29.483333333333334,.625,.625,.750,.000,0.0,13.0,7.4,4.7,0.0,0.0,0.0,6.2,129,106
2017-10-18,Thon Maker,MIL,BOS,R,13.75,.250,.250,.250,.000,18.4,7.0,11.9,0.0,3.6,0.0,20.0,16.8,68,101
2017-10-18,Matthew Dellavedova,MIL,BOS,R,26.483333333333334,.615,.500,.400,.500,0.0,3.6,2.1,5.9,0.0,0.0,7.6,23.0,118,109
2017-10-18,John Henson,MIL,BOS,R,17.216666666666665,.868,1.000,.000,1.000,0.0,33.5,19.0,17.2,0.0,17.7,25.8,10.4,134,86
2017-10-18,Greg Monroe,MIL,BOS,R,16.816666666666666,.740,.800,.000,.800,7.5,28.5,19.5,10.7,0.0,0.0,0.0,18.5,154,101
2017-10-18,Mirza Teletovic,MIL,BOS,R,11.05,.000,.000,1.000,.000,0.0,17.4,9.9,11.4,0.0,0.0,0.0,8.3,30,106
2017-10-18,Rashad Vaughn,MIL,BOS,R,3.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,111
2017-10-18,Team Totals,MIL,BOS,R,240.0,.605,.546,.276,.395,15.8,78.0,51.1,50.0,6.1,6.3,14.4,100.0,110.4,102.2
2017-10-18,Kyrie Irving,BOS,MIL,H,38.93333333333333,.328,.320,.280,.080,2.5,9.7,5.6,12.2,3.8,0.0,10.4,31.7,69,109
2017-10-18,Jayson Tatum,BOS,MIL,H,36.53333333333333,.435,.429,.143,.714,5.3,24.2,13.4,7.5,1.3,0.0,17.9,13.1,87,113
2017-10-18,Al Horford,BOS,MIL,H,33.45,.568,.545,.182,.091,2.9,18.9,9.8,18.9,4.4,5.2,14.9,17.2,108,102
2017-10-18,Marcus Smart,BOS,MIL,H,32.333333333333336,.384,.423,.538,.462,8.9,15.6,11.8,18.0,4.6,0.0,16.1,24.7,81,107
2017-10-18,Jaylen Brown,BOS,MIL,H,28.15,.682,.636,.273,.455,3.4,17.9,9.7,17.8,0.0,0.0,0.0,20.1,147,116
2017-10-18,Terry Rozier,BOS,MIL,H,26.8,.625,.625,.417,.000,0.0,33.0,14.2,38.0,3.7,0.0,0.0,19.1,139,106
2017-10-18,Aron Baynes,BOS,MIL,H,15.966666666666667,.667,.667,.000,.000,6.0,7.9,6.8,0.0,0.0,0.0,0.0,8.0,141,118
2017-10-18,Semi Ojeleye,BOS,MIL,H,11.65,.750,.750,1.000,.000,0.0,10.8,4.7,0.0,0.0,0.0,33.3,11.0,85,118
2017-10-18,Abdel Nader,BOS,MIL,H,11.433333333333334,.500,.500,.250,.000,0.0,0.0,0.0,13.7,0.0,0.0,0.0,15.0,110,119
2017-10-18,Daniel Theis,BOS,MIL,H,4.75,.773,.667,.000,.667,40.4,0.0,23.0,0.0,0.0,0.0,20.5,43.9,130,119
2017-10-18,Team Totals,BOS,MIL,H,240.0,.499,.489,.308,.231,22.0,84.2,48.9,59.0,12.3,3.6,10.7,100.0,102.2,110.4
2017-10-18,Dennis Schroder,ATL,DAL,R,34.28333333333333,.521,.519,.115,.077,0.0,6.2,3.1,32.9,2.8,0.0,6.9,35.6,114,116
2017-10-18,Kent Bazemore,ATL,DAL,R,26.633333333333333,.500,.500,.143,.000,3.9,12.0,7.9,12.7,1.8,0.0,12.5,12.7,113,116
2017-10-18,Taurean Waller-Prince,ATL,DAL,R,25.85,.460,.400,.000,.200,8.1,33.0,20.4,4.6,0.0,4.5,8.4,19.4,105,113
2017-10-18,Dewayne Dedmon,ATL,DAL,R,25.6,.580,.500,.000,.667,8.2,20.8,14.4,4.4,0.0,13.7,34.0,19.4,89,110
2017-10-18,Ersan Ilyasova,ATL,DAL,R,23.783333333333335,.615,.500,.250,.500,13.2,13.5,13.3,0.0,2.0,4.9,0.0,8.7,154,112
2017-10-18,Marco Belinelli,ATL,DAL,R,25.7,.672,.643,.429,.143,0.0,12.5,6.2,16.0,5.7,0.0,6.3,26.1,139,107
2017-10-18,John Collins,ATL,DAL,R,22.4,.618,.600,.000,.300,14.0,9.5,11.8,6.1,4.3,0.0,8.1,23.2,130,111
2017-10-18,DeAndre' Bembry,ATL,DAL,R,17.75,.500,.500,.167,.000,5.9,30.0,17.8,6.8,5.5,6.6,25.0,19.0,87,99
2017-10-18,Mike Muscala,ATL,DAL,R,13.533333333333333,.667,.667,.333,.000,7.7,23.6,15.6,17.3,0.0,0.0,0.0,9.4,162,118
