DATE,PLAYER_NAME,OWN_TEAM,OPP_TEAM,VENUE,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,USG%,PACE
2017-10-19,DeMar DeRozan,TOR,CHI,H,32.05,2,9,.222,0,0,,7,8,.875,1,5,6,5,2,1,5,1,11,-3,23.4,99.9
2017-10-19,Kyle Lowry,TOR,CHI,H,31.333333333333332,4,7,.571,1,3,.333,3,3,1.000,0,4,4,9,1,0,4,1,12,+1,16.8,99.9
2017-10-19,Jonas Valanciunas,TOR,CHI,H,30.5,9,17,.529,0,1,.000,5,6,.833,8,7,15,2,2,0,1,4,23,-2,28.9,99.9
2017-10-19,Norman Powell,TOR,CHI,H,24.583333333333332,5,11,.455,3,6,.500,2,2,1.000,0,4,4,1,1,0,2,2,15,+1,24.1,99.9
2017-10-19,Serge Ibaka,TOR,CHI,H,24.233333333333334,3,8,.375,2,4,.500,0,0,,1,3,4,0,0,2,0,2,8,-4,14.1,99.9
2017-10-19,Delon Wright,TOR,CHI,H,23.366666666666667,4,6,.667,0,1,.000,5,5,1.000,1,1,2,5,1,0,0,0,13,+21,15.0,99.9
2017-10-19,C.J. Miles,TOR,CHI,H,20.016666666666666,7,12,.583,6,9,.667,2,2,1.000,0,5,5,0,0,0,0,4,22,+25,27.5,99.9
2017-10-19,Jakob Poeltl,TOR,CHI,H,17.5,1,2,.500,0,0,,0,0,,0,5,5,0,1,0,3,3,2,+19,12.2,99.9
2017-10-19,OG Anunoby,TOR,CHI,H,17.233333333333334,3,6,.500,1,3,.333,2,2,1.000,2,1,3,2,0,0,0,1,9,+26,17.1,99.9
2017-10-19,Fred VanVleet,TOR,CHI,H,12.983333333333333,1,5,.200,0,2,.000,0,0,,0,1,1,2,1,1,2,1,2,+12,23.0,99.9
2017-10-19,Pascal Siakam,TOR,CHI,H,4.966666666666667,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-7,0.0,99.9
2017-10-19,Alfonzo McKinnie,TOR,CHI,H,1.2333333333333334,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4,0.0,99.9
2017-10-19,Team Totals,TOR,CHI,H,240.0,39,83,.470,13,29,.448,26,28,.929,13,36,49,26,10,4,17,19,117,,100.0,99.9
2017-10-20,Evan Fournier,ORL,BRK,R,35.65,8,21,.381,2,6,.333,4,4,1.000,2,7,9,5,2,0,2,3,22,-3,28.3,107.4
2017-10-20,Nikola Vucevic,ORL,BRK,R,35.21666666666667,17,22,.773,6,8,.750,1,2,.500,1,11,12,3,0,0,4,5,41,+15,31.2,107.4
2017-10-20,Terrence Ross,ORL,BRK,R,30.266666666666666,4,9,.444,2,4,.500,1,1,1.000,2,4,6,2,1,0,0,3,11,+6,12.7,107.4
2017-10-20,Jonathan Isaac,ORL,BRK,R,22.65,4,5,.800,1,1,1.000,0,0,,0,1,1,3,2,1,4,3,9,-3,16.2,107.4
2017-10-20,Elfrid Payton,ORL,BRK,R,14.5,2,6,.333,0,1,.000,0,0,,0,1,1,4,1,0,2,0,4,+10,22.5,107.4
2017-10-20,D.J. Augustin,ORL,BRK,R,23.15,3,5,.600,2,3,.667,2,2,1.000,1,1,2,5,1,0,2,3,10,-8,13.9,107.4
2017-10-20,Jonathon Simmons,ORL,BRK,R,21.766666666666666,3,6,.500,2,3,.667,2,2,1.000,1,0,1,1,0,0,2,2,10,-8,16.7,107.4
2017-10-20,Mario Hezonja,ORL,BRK,R,15.583333333333334,1,5,.200,1,2,.500,0,0,,1,2,3,1,1,0,1,3,3,0,15.7,107.4
2017-10-20,Arron Afflalo,ORL,BRK,R,14.916666666666666,0,3,.000,0,2,.000,2,3,.667,0,2,2,3,0,1,0,1,2,-3,11.8,107.4
2017-10-20,Bismack Biyombo,ORL,BRK,R,12.783333333333333,1,2,.500,0,0,,1,1,1.000,0,1,1,0,0,1,2,3,3,-20,14.2,107.4
2017-10-20,Shelvin Mack,ORL,BRK,R,10.116666666666667,1,3,.333,1,2,.500,0,0,,0,0,0,3,1,0,2,1,3,-6,20.2,107.4
2017-10-20,Marreese Speights,ORL,BRK,R,3.4,1,2,.500,1,1,1.000,0,0,,1,1,2,0,0,0,1,0,3,-5,36.0,107.4
2017-10-20,Team Totals,ORL,BRK,R,240.0,45,89,.506,18,33,.545,13,15,.867,9,31,40,30,9,3,22,27,121,,100.0,107.4
2017-10-20,DeMarre Carroll,BRK,ORL,H,27.55,6,9,.667,3,4,.750,2,2,1.000,1,7,8,2,2,0,1,2,17,-5,15.1,107.4
2017-10-20,D'Angelo Russell,BRK,ORL,H,25.433333333333334,8,16,.500,0,3,.000,1,2,.500,1,2,3,6,3,0,8,3,17,-7,37.4,107.4
2017-10-20,Rondae Hollis-Jefferson,BRK,ORL,H,24.95,5,10,.500,0,1,.000,5,7,.714,1,3,4,1,3,3,0,0,15,+1,20.1,107.4
2017-10-20,Allen Crabbe,BRK,ORL,H,22.866666666666667,1,5,.200,1,4,.250,6,6,1.000,0,1,1,2,0,1,1,0,9,-7,14.5,107.4
2017-10-20,Timofey Mozgov,BRK,ORL,H,15.733333333333333,2,5,.400,0,1,.000,0,0,,3,3,6,0,0,0,1,0,4,-1,14.6,107.4
2017-10-20,Caris LeVert,BRK,ORL,H,27.3,4,11,.364,0,4,.000,1,3,.333,0,1,1,2,2,1,3,2,9,+12,21.5,107.4
